,Member,Party Name,Constituency
66,"Borlakunta, Shri Venkatesh Netha",Telangana Rashtra Samithi,Peddapalle (SC)(Telangana)
67,"Chahar, Shri Rajkumar",Bharatiya Janata Party,Fatehpur Sikri (Uttar Pradesh)
68,"Chakraborty, Ms. Mimi",All India Trinamool Congress,Jadavpur (West Bengal)
69,"Chandel, Kunwar Pushpendra Singh",Bharatiya Janata Party,Hamirpur (Uttar Pradesh)
70,"Chandra, Shri Girish",Bahujan Samaj Party,Nagina (SC)(Uttar Pradesh)
71,"Chatterjee, Smt. Locket",Bharatiya Janata Party,Hooghly (West Bengal)
72,"Chaudhary, Shri P.P.",Bharatiya Janata Party,Pali (Rajasthan)
73,"Chaudhary, Shri Pankaj",Bharatiya Janata Party,Maharajganj (Uttar Pradesh)
74,"Chaudhary, Shri Pradeep Kumar",Bharatiya Janata Party,Kairana (Uttar Pradesh)
75,"Chaudhary, Shri Santokh Singh",Indian National Congress,Jalandhar (SC)(Punjab)
76,"Chaudhuri, Km. Debasree",Bharatiya Janata Party,Raiganj (West Bengal)
77,"Chauhan, Shri Devusinh Jesingbhai",Bharatiya Janata Party,Kheda (Gujarat)
78,"Chauhan, Shri Nihal Chand",Bharatiya Janata Party,Ganganagar (SC)(Rajasthan)
79,"Chavda, Shri Vinod",Bharatiya Janata Party,Kachchh (SC)(Gujarat)
80,"Chazhikadan, Shri Thomas",Kerala Congress (M),Kottayam (Kerala)
81,"Chellakumar, Dr. A.",Indian National Congress,Krishnagiri (Tamil Nadu)
82,"Chidambaram, Shri Karti P.",Indian National Congress,Sivaganga (Tamil Nadu)
83,"Chikhalikar, Shri Prataprao Patil",Bharatiya Janata Party,Nanded (Maharashtra)
84,"Chinraj, Shri A.K.P.",Dravida Munnetra Kazhagam,Namakkal (Tamil Nadu)
85,"Chinta Anuradha, Smt.",Yuvajana Sramika Rythu Congress Party,Amalapuram (SC)(Andhra Pradesh)
86,"Choubey, Shri Ashwini Kumar",Bharatiya Janata Party,Buxar (Bihar)
87,"Choudhary, Shri Chandra Prakash",AJSU Party,Giridih (Jharkhand)
88,"Choudhary, Shri Kailash",Bharatiya Janata Party,Barmer (Rajasthan)
89,"Choudhury, Shri Abu Hasem Khan",Indian National Congress,Maldaha Dakshin (West Bengal)
90,"Chowdhury, Shri Adhir Ranjan",Indian National Congress,Baharampur (West Bengal)
